year,firm,lsales,lcapital,llabor,sk_labor,lmaterials,foreign,export,intangibles,ownership
2006,13,11.65363,11.28345,5.509388,0.1626506,9.644976,0.0,0,1,0
2004,14,9.138092,8.328692,3.951244,0.2692308,9.06184,0.0,0,0,1
2005,14,8.889859,8.295798,3.912023,0.2692308,7.346655,0.0,0,0,1
2006,14,8.925188,8.297295,3.871201,0.2692308,7.440146,0.0,0,0,1
2004,15,9.081939,9.339437,3.555348,0.3428572,7.82764,0.0,0,1,0
2005,15,9.675457,9.343472,3.688879,0.3428572,8.227108,0.0,0,1,0
2006,15,9.409191,9.607572,4.143135,0.3428572,8.174139,0.0,0,0,0
2004,16,10.28783,9.397981,5.945421,0.1701571,9.400961,0.0,0,1,0
2005,16,10.2956,9.016634,5.693732,0.1701571,9.289151,0.0,0,1,0
2006,16,10.05612,9.204121,5.525453,0.1701571,9.161466,0.0,0,1,0
2004,17,10.23738,9.194922,5.111988,0.1144578,9.509556,0.0,0,1,0
2005,17,10.2027,9.095827,5.075174,0.1144578,9.575747,0.0,0,1,0
2006,17,10.32967,9.111293,5.049856,0.1144578,9.466842,0.0,0,1,0
2004,18,9.092682,8.036573,4.025352,0.0714286,8.863192,1.0,0,1,0
2005,18,9.028099,8.081475,4.077538,0.0714286,8.813141,0.2473684,0,1,0
2006,18,9.040856,8.083637,3.912023,0.0714286,8.934851,0.2439282,0,1,0
2004,19,8.527143,6.263398,2.397895,0.5454546,8.38229,0.0,0,0,0
2005,19,8.831274,6.885509,2.772589,0.5454546,8.227108,0.0,0,0,0
2006,19,8.567125,7.385851,2.995732,0.5454546,8.39231,0.0,0,0,0
2004,20,10.67556,8.672829,4.465908,0.4022988,10.52519,0.0,0,1,0
2005,20,10.60896,8.741137,4.532599,0.4022988,10.27118,0.0,0,1,0
2006,20,10.43793,9.015541,4.867535,0.4022988,10.30075,0.0,0,1,0
2004,21,9.979291,9.658162,5.308268,0.0940594,9.071652,0.0,0,1,0
2005,21,9.914625,9.779963,5.375278,0.0940594,9.21124,0.0,0,1,0
2006,21,10.06182,9.803944,5.463832,0.0940594,9.671618,0.0,0,1,0
2004,22,8.900549,8.263332,3.433987,0.3548387,7.981733,0.0,0,1,0
2005,22,9.202812,8.421123,3.78419,0.3548387,8.661813,0.0,0,1,0
2006,22,9.103089,5.438079,3.806663,0.3548387,8.607582,0.0,0,1,0
2004,23,10.28671,9.716977,5.53339,0.3043478,8.721276,0.0,0,0,0
2005,23,10.71188,9.682155,5.627621,0.3043478,8.757941,0.0,0,1,0
2006,23,11.10712,9.875397,5.802118,0.3043478,8.596004,0.0,0,1,0
2004,24,9.340404,8.659387,4.770685,0.0677966,9.1442,0.0,0,0,0
2005,24,9.366404,8.672144,4.189655,0.0677966,9.099855,0.0,0,0,0
2006,24,9.484861,8.642415,4.304065,0.0677966,9.437237,0.0,0,0,0
2004,25,10.97577,10.97442,5.726848,0.1726384,10.24491,0.0,0,1,0
2005,25,11.06714,11.11764,5.717028,0.1726384,10.35806,0.0,0,1,0
2006,25,10.62901,9.828225,5.70711,0.1726384,9.772068,0.0,0,1,0
2004,26,6.906755,7.999343,2.944439,0.5263158,5.513429,0.0,0,0,1
2005,26,6.972606,7.999343,2.995732,0.5263158,5.493062,0.0,0,0,1
2006,26,6.579251,8.005701,2.944439,0.5263158,5.429346,0.0,0,0,1
2004,27,8.648747,6.928538,3.688879,0.325,7.968666,0.0,0,0,0
2005,27,8.894258,6.951772,3.688879,0.325,8.255829,0.0,0,0,0
2006,27,9.158942,6.80017,3.178054,0.325,8.334231,0.0,0,0,0
2004,28,9.416866,8.489205,3.688879,0.225,9.198369,0.0,0,0,0
2005,28,9.463741,8.489205,3.663562,0.225,9.158731,0.0,0,0,0
2006,28,9.339964,8.425516,3.526361,0.225,8.976262,0.0,0,0,0
2004,29,8.943637,7.186901,4.369448,0.113924,8.071843,0.0,0,1,0
2005,29,8.949884,7.810758,4.65396,0.113924,8.150757,0.4,0,1,0
2006,29,9.849137,8.729882,4.65396,0.113924,8.093768,0.49,0,1,0
2004,30,9.383789,7.74327,3.218876,0.16,8.815964,1.0,0,0,0
2005,30,9.711176,6.39693,3.367296,0.16,9.224539,1.0,0,0,0
2006,30,10.11816,6.842683,3.89182,0.16,9.686512,1.0,0,0,0
2004,31,10.65815,9.868326,2.197225,0.5555556,10.684,0.0,0,0,0
2005,31,10.70052,9.941024,1.94591,0.5555556,10.59711,0.0,0,0,0
2006,31,10.62758,9.952849,2.079442,0.5555556,10.54576,0.0,0,0,0
2004,32,9.584314,7.600903,4.867535,0.5846154,8.157657,0.0,0,0,0
2005,32,9.182969,6.684612,4.718499,0.5846154,8.313852,0.0,0,0,0
2006,32,8.793157,6.131227,4.174387,0.5846154,7.766417,0.0,0,0,0
2004,33,8.850661,10.4257,4.276666,0.2777778,8.645234,0.0,0,0,0
2005,33,9.334327,10.37349,4.369448,0.2777778,9.146441,0.0,0,1,0
2006,33,9.464207,9.50465,4.672829,0.2777778,9.23708,0.0,0,1,0
2004,34,8.615589,7.311218,3.135494,0.173913,8.204946,0.0,0,0,0
2005,34,8.689465,7.334982,3.401197,0.173913,8.15191,0.0,0,0,0
2006,34,8.843038,7.3518,3.401197,0.173913,8.525954,0.0,0,0,0
2004,35,11.16514,9.259226,5.187386,0.5642458,10.00007,0.0,0,0,1
2005,35,11.28866,9.895455,5.347107,0.5642458,10.10394,0.0,0,0,1
2006,35,11.35924,10.82126,5.420535,0.5642458,10.08239,0.0,1,0,1
2004,36,9.55549,7.600903,3.713572,0.5121951,8.337588,0.0,0,0,0
2005,36,10.11152,8.383433,3.871201,0.5121951,9.312175,0.0,0,0,0
2006,36,10.11561,8.152198,4.394449,0.5121951,9.664849,0.0,0,0,0
2004,37,7.117206,5.225747,3.713572,0.2195122,6.828712,0.0,0,1,1
2005,37,6.918695,5.32301,2.890372,0.2195122,6.872128,0.0,0,0,1
2006,37,6.96508,5.351858,3.258096,0.2195122,6.882438,0.0,0,0,1
2004,38,10.10528,8.89371,4.553877,0.4210526,9.571226,0.0,0,0,0
2005,38,10.14187,9.048174,4.49981,0.4210526,9.851247,0.0,0,1,0
2006,38,10.33417,9.047939,4.532599,0.4210526,9.964865,0.0,0,1,0
2004,39,8.733433,7.571989,3.465736,0.28125,7.754481,0.0,0,0,0
2005,39,8.993551,7.567863,3.401197,0.28125,8.183397,0.0,0,0,0
2006,39,8.794067,7.570959,3.332205,0.28125,8.030735,0.0,0,0,0
2004,40,6.96508,6.542472,2.890372,0.7222222,6.363028,0.0,1,0,1
2005,40,7.097549,6.708084,2.890372,0.7222222,6.710523,0.0,1,0,1
2006,40,7.414573,6.708084,2.772589,0.7222222,7.045776,0.0,0,0,1
2004,41,9.41768,5.010635,3.663562,0.2564103,8.363809,0.0,0,0,0
2005,41,9.540794,5.556828,3.78419,0.2564103,9.217316,0.0,0,0,0
2006,41,9.471242,5.313206,4.077538,0.2564103,9.170247,0.0,0,0,0
2004,42,8.542276,6.806829,3.465736,0.25,8.270013,0.0,0,0,0
2005,42,8.841014,6.489205,3.367296,0.25,8.600799,0.0,1,0,0
2006,42,9.102309,7.090077,3.258096,0.25,8.613412,0.0,0,0,0
2004,43,10.02127,9.807362,6.075346,0.0137931,9.509556,0.0,1,0,1
2005,43,10.76754,9.807362,6.146329,0.0137931,10.43943,0.0,1,0,1
2006,43,11.22049,10.16235,6.122493,0.0137931,10.96306,0.0,1,0,1
2004,44,8.192294,5.267858,3.912023,0.3,6.028278,0.0,0,0,1
2005,44,7.955074,5.393628,4.025352,0.3,6.309918,0.0,0,0,1
2006,44,8.164511,5.455321,3.951244,0.3,5.97381,0.0,0,0,1
2004,45,8.833171,7.640123,3.912023,0.24,7.617268,0.0,0,0,0
2005,45,8.907477,7.790696,3.912023,0.24,8.320205,0.0,0,0,0
2006,45,8.979291,7.790696,3.850147,0.24,8.219057,0.0,0,0,0
2004,46,9.320539,7.522941,4.41884,0.0722892,8.987822,0.0,0,0,0
2005,46,8.901366,6.851185,4.454347,0.0722892,8.659907,0.0,0,0,0
2006,46,9.275847,5.659482,4.077538,0.0722892,7.389564,0.0,0,0,0
2004,47,9.058703,5.983936,3.78419,0.3181818,8.364741,0.0,1,0,0
2005,47,9.327679,5.983936,3.988984,0.3181818,8.216358,0.0,0,0,0
2006,47,9.208639,5.983936,3.850147,0.3181818,8.78554,0.0,1,0,0
2004,48,10.34769,9.63835,4.905275,0.5851852,9.254453,0.0,0,0,0
2005,48,10.40602,8.14119,5.09375,0.5851852,9.528285,0.0,0,0,0
2006,48,10.70956,8.761864,5.153292,0.5851852,9.964724,0.0,1,1,0
2004,49,9.970678,9.978363,4.317488,0.4,9.70082,0.0,0,1,0
2005,49,10.02225,10.09456,4.158883,0.4,9.712206,0.0,0,1,0
2006,49,10.03736,10.09456,3.871201,0.4,9.953182,0.0,0,1,0
2004,50,9.836921,9.004668,5.680172,0.0750853,8.739536,0.0,0,1,1
2005,50,9.952659,9.735483,5.855072,0.0750853,8.807023,0.0,0,1,1
2006,50,10.01489,9.839003,5.910797,0.0750853,8.701512,0.0,0,1,1
2004,51,11.4409,11.15728,5.153292,0.6300578,9.911654,0.0,0,1,0
2005,51,11.68355,11.30704,5.463832,0.6300578,10.54424,0.0,1,1,0
2006,51,11.87712,11.35899,5.587249,0.6300578,10.61142,0.0,1,1,0
2004,52,9.481283,8.34759,4.317488,0.0666667,9.061725,0.0,0,0,0
2005,52,9.581903,8.335671,4.248495,0.0666667,9.392662,0.0,0,0,0
2006,52,9.728718,8.381602,4.174387,0.0666667,9.528648,0.0,0,1,0
2004,53,10.20729,6.44572,3.912023,0.06,10.02712,0.0,0,0,0
2005,53,10.26917,6.49224,3.828641,0.06,10.19092,0.0,0,0,0
2006,53,10.42851,7.600903,4.174387,0.06,10.34817,0.0,0,0,0
2004,54,8.788136,7.937375,3.258096,0.1153846,7.112328,0.0,0,0,0
2005,54,9.073604,8.205218,3.218876,0.1153846,8.456381,0.0,0,0,0
2006,54,9.324561,8.708474,3.218876,0.1153846,9.100637,0.0,0,0,0
2004,55,8.901911,5.497168,2.302585,0.0,8.612503,0.0,0,0,0
2005,55,9.278279,5.768321,2.302585,0.0,9.038365,0.0,0,0,0
2006,55,9.572341,6.572282,2.302585,0.0,9.321971,0.0,0,0,0
2004,56,12.37223,13.42667,6.261492,0.1603053,11.82985,0.0,1,1,0
2005,56,12.89672,13.56836,6.261492,0.1603053,12.47914,0.0,1,1,0
2006,56,12.64826,13.5768,6.33328,0.1603053,12.32514,0.0,1,1,0
2004,57,9.72687,4.905275,2.302585,0.0,9.795847,0.0,0,0,0
2005,57,10.30675,4.976734,2.302585,0.0,10.19242,0.0,0,0,0
2006,57,10.65261,4.976734,2.302585,0.0,10.59591,0.0,0,0,0
2004,58,9.392662,6.670766,4.41884,0.4216867,8.471777,0.0,0,0,0
2005,58,8.594154,7.590852,4.317488,0.4216867,8.333751,0.0,0,0,0
2006,58,8.630522,6.889591,4.025352,0.4216867,7.908387,0.0,0,0,0
2004,59,10.21957,7.549609,3.806663,0.3111111,9.771726,0.0,0,0,0
2005,59,10.82275,8.199739,3.931826,0.3111111,10.58759,0.0,0,0,0
2006,59,11.02164,8.68626,4.219508,0.3111111,10.8945,0.0,0,0,0
2004,60,10.02331,7.155396,4.248495,0.2428571,9.38505,0.0,0,0,0
2005,60,9.975808,8.414939,4.382027,0.2428571,9.459931,0.0,0,0,0
2006,60,9.853247,9.139059,4.382027,0.2428571,9.681218,0.0,0,0,0
2004,61,9.694062,4.60517,2.397895,0.0,9.333,0.0,0,0,0
2005,61,9.563107,6.361302,2.397895,0.0,9.202309,0.0,0,0,0
2006,61,9.729135,6.363028,2.079442,0.0,9.394161,0.0,0,0,0
2004,62,9.14024,7.340836,3.688879,0.1,8.724695,0.0,0,0,0
2005,62,9.398147,5.758902,3.988984,0.1,9.351319,0.0,0,0,0
2006,62,9.642642,5.70711,4.025352,0.1,8.876125,0.0,0,0,0
2004,63,8.805375,8.523573,5.187386,0.0446927,8.003029,0.0,0,0,0
2005,63,8.994172,6.708084,5.099866,0.0446927,8.505728,0.0,0,0,0
2006,63,9.16503,7.309212,4.812184,0.0446927,9.176991,0.0,0,0,0
2004,64,9.671556,5.47227,4.077538,0.0338983,9.267098,0.0,0,0,0
2005,64,10.14388,6.558198,3.806663,0.0338983,9.900985,0.0,0,0,0
2006,64,10.19877,7.698483,3.526361,0.0338983,10.08117,0.0,0,0,0
2004,65,11.78446,9.243775,4.779123,0.4117647,11.6519,0.0,0,1,0
2005,65,11.6053,9.091444,5.099866,0.4117647,11.45469,0.0,0,1,0
2006,65,11.78307,9.55393,5.332719,0.4117647,11.58586,0.0,0,1,0
2004,66,9.257796,6.047372,2.397895,0.4545455,9.159678,0.0,0,0,0
2005,66,9.493789,5.497168,2.890372,0.4545455,9.438272,0.0,0,0,0
2006,66,9.226312,6.056784,2.833213,0.4545455,9.054037,0.0,0,0,0
2004,67,9.039315,9.287487,3.555348,0.0857143,7.341484,0.5999679,0,0,0
2005,67,9.364348,9.344784,3.688879,0.0857143,7.481556,0.5999679,0,0,0
2006,67,9.064042,9.357121,3.688879,0.0857143,7.372118,0.5999679,0,0,0
2004,68,9.144307,5.857933,2.995732,0.15,9.090994,0.0,0,0,0
2005,68,9.46599,6.075346,3.044523,0.15,9.330432,0.0,0,0,0
2006,68,9.229751,6.593045,3.218876,0.15,9.086476,0.0,0,0,0
2004,69,9.312897,7.489412,3.688879,0.0,8.874168,0.0,0,0,0
2005,69,9.23922,7.489412,3.637586,0.0,8.988945,0.0,0,0,0
2006,69,8.619027,7.659643,3.555348,0.0,8.436634,0.0,0,0,0
2004,70,10.15952,10.38631,4.49981,0.2666667,8.947416,0.0,0,1,0
2005,70,10.15144,10.3749,5.111988,0.2666667,8.953898,0.0,0,1,0
2006,70,10.55537,10.68794,5.231109,0.2666667,9.366404,0.0,0,1,0
2004,71,9.541441,9.103423,4.26268,0.0422535,9.325364,0.0,0,0,0
2005,71,9.4572,9.100749,4.234107,0.0422535,9.146655,0.0,0,0,0
2006,71,9.483797,9.066355,4.174387,0.0422535,9.315961,0.0,0,0,0
2004,72,9.680219,6.594413,4.110874,0.2295082,9.634627,0.0,0,0,0
2005,72,10.1496,5.616771,4.248495,0.2295082,9.933241,0.0,0,0,0
2006,72,10.38,5.416101,4.26268,0.2295082,10.12787,0.0,0,1,0
2004,73,11.74804,8.317278,5.062595,0.278481,11.34596,0.0,0,0,0
2005,73,12.07932,8.580731,5.541264,0.278481,12.24524,0.0,0,0,0
2006,73,12.09797,8.880586,5.7301,0.278481,11.90783,0.0,0,0,0
2004,74,12.70951,11.00421,4.465908,0.3908046,11.66124,0.6,1,1,0
2005,74,12.53337,10.55745,4.477337,0.3908046,12.02909,0.6,1,1,0
2006,74,12.20852,11.22358,4.369448,0.3908046,11.9742,0.6,1,1,0
2004,75,9.617337,8.699514,3.850147,0.0638298,9.136694,0.0,0,1,1
2005,75,9.545383,8.783703,3.850147,0.0638298,8.950144,0.0,0,1,1
2006,75,9.556055,8.416489,3.850147,0.0638298,8.943114,0.0,0,1,1
2004,76,9.792221,8.052933,3.713572,0.0,9.570808,0.0,0,0,0
2005,76,9.640238,8.36637,3.663562,0.0,9.430119,0.0,0,0,0
2006,76,9.033364,8.370779,3.828641,0.0,8.528331,0.0,0,0,0
2004,77,9.942035,8.982812,4.65396,0.2380952,9.050758,0.0,0,0,0
2005,77,9.927692,8.533067,4.787492,0.2380952,9.957644,0.0,0,0,0
2006,77,10.12955,8.60886,4.564348,0.2380952,9.792276,0.0,0,0,0
2004,78,9.012499,8.109826,4.41884,0.0481928,8.222822,0.5999369,0,1,1
2005,78,8.721276,7.838737,4.29046,0.0481928,8.364508,0.5999369,0,1,1
2006,78,9.008101,7.838737,4.219508,0.0481928,8.502282,0.5999369,0,1,1
2004,79,10.66616,10.62133,5.726848,0.1270358,9.80615,0.0,0,0,0
2005,79,10.75831,10.62133,6.39693,0.1270358,10.32876,0.0,0,0,0
2006,79,10.92651,10.57132,6.214608,0.1270358,10.37689,0.0,0,1,0
2004,80,10.43696,9.849771,5.273,0.1589744,9.451403,0.0,0,1,0
2005,80,10.51813,10.02486,4.955827,0.1589744,10.19017,0.25,0,1,0
2006,80,10.28,8.886962,4.85203,0.1589744,10.20792,0.25,0,1,0
2004,81,10.07369,6.665684,2.197225,0.5555556,8.972464,0.0,0,0,0
2005,81,10.08818,6.665684,3.7612,0.5555556,9.505469,0.0,0,0,0
2006,81,10.06207,6.665684,2.197225,0.5555556,9.990537,0.0,0,0,0
2004,82,9.196038,6.025866,2.890372,0.1111111,9.035987,0.0,0,0,0
2005,82,9.224145,5.768321,3.091043,0.1111111,9.059052,0.0,0,0,0
2006,82,9.428994,5.843544,3.091043,0.1111111,9.184715,0.0,0,0,0
2004,83,9.672815,9.867861,5.634789,0.3928571,9.038484,0.0,0,1,1
2005,83,9.464362,10.28657,5.545177,0.3928571,8.380457,0.0,0,0,1
2006,83,9.3879,9.925249,5.420535,0.3928571,7.990577,0.0,0,0,1
2004,84,8.943376,5.723585,2.995732,0.1,8.816112,0.0,0,0,0
2005,84,9.713295,5.57973,3.295837,0.1,9.345221,0.0,0,0,0
2006,84,9.804551,5.7301,3.332205,0.1,9.533438,0.0,0,0,0
2004,85,8.88461,7.402452,4.65396,0.0761905,8.565602,0.0,0,0,0
2005,85,9.398479,6.835185,4.941642,0.0761905,8.895219,0.0,0,0,0
2006,85,9.352708,6.745236,4.795791,0.0761905,9.108308,0.0,0,1,0
2004,86,9.359105,8.410275,4.59512,0.2323232,8.626944,0.0,0,1,0
2005,86,9.169935,8.498825,4.795791,0.2323232,8.924922,0.0,0,1,0
2006,86,9.365633,9.352708,4.61512,0.2323232,8.360539,0.0,0,1,0
2004,87,9.76824,6.907755,4.007333,0.0727273,9.743436,0.0,0,0,0
2005,87,8.879055,6.098074,3.688879,0.0727273,8.917579,0.0,0,0,0
2006,87,9.324919,7.148346,3.583519,0.0727273,9.119102,0.0,0,0,0
2004,88,8.64365,10.63778,4.442651,0.1647059,8.097426,0.0,0,0,0
2005,88,8.577724,10.63778,4.330733,0.1647059,7.895808,0.0,0,0,0
2006,88,8.733433,10.63778,4.356709,0.1647059,8.065266,0.0,0,0,0
2004,89,11.29589,10.46507,5.036952,0.4935065,10.86011,0.0,0,1,0
2005,89,10.83614,10.47099,5.164786,0.4935065,10.77695,0.0,0,1,0
2006,89,10.97803,10.47951,4.955827,0.4935065,10.92666,0.0,0,1,0
2004,90,9.909221,10.10851,4.094345,0.1333333,8.856091,0.0084557,0,1,0
2005,90,10.17998,9.074521,4.094345,0.1333333,9.087042,0.0,0,1,0
2006,90,10.08864,9.014325,3.912023,0.1333333,8.92079,0.0,0,1,0
2004,91,10.13939,8.636752,4.510859,0.1208791,9.924662,0.0,0,0,0
2005,91,10.38641,8.66768,4.543295,0.1208791,10.01216,0.0,0,0,0
2006,91,10.74908,8.884887,4.836282,0.1208791,10.68203,0.0,0,0,0
2004,92,10.33796,8.992682,4.189655,0.0757576,9.856291,0.0,0,0,0
2005,92,11.01337,10.31851,4.189655,0.0757576,10.34638,0.0,0,0,0
2006,92,11.17013,10.31068,4.189655,0.0757576,10.40272,0.0,0,0,0
2004,93,9.672815,7.504942,2.995732,0.25,8.072155,0.25,0,0,0
2005,93,9.852194,8.014005,3.091043,0.25,9.682841,0.25,0,0,0
2006,93,9.99479,8.022241,2.995732,0.25,9.764915,0.25,0,0,0
2004,94,9.494692,7.297091,3.931826,0.6666667,9.041093,0.0,0,1,0
2005,94,9.43867,5.429346,3.931826,0.6666667,8.736971,0.0,0,0,0
2006,94,9.846547,5.774551,3.931826,0.6666667,9.574428,0.0,0,0,0
2004,95,10.66336,6.745236,3.806663,0.0666667,10.17351,0.0,0,0,0
2005,95,10.57029,7.874739,3.912023,0.0666667,9.859901,0.0,0,0,0
2006,95,10.82337,7.874739,3.970292,0.0666667,10.33169,0.0,0,0,0
2004,96,9.983176,6.405229,2.890372,0.0555556,8.784315,0.0,0,0,0
2005,96,9.998298,6.481577,3.091043,0.0555556,9.538492,0.0,0,0,0
2006,96,9.314159,6.821107,2.890372,0.0555556,8.77137,0.0,0,0,0
2004,97,8.207947,8.164795,3.931826,0.0784314,7.60589,0.0,0,0,1
2005,97,8.226306,8.425955,3.912023,0.0784314,7.561642,0.0,0,0,1
2006,97,8.338545,7.443664,3.931826,0.0784314,7.576097,0.0,0,0,1
2004,98,8.973478,7.911324,2.995732,0.05,8.569786,0.0,0,0,0
2005,98,8.998507,7.37149,3.178054,0.05,8.905309,0.0,0,0,0
2006,98,9.447782,7.450079,3.663562,0.05,9.248599,0.0,0,0,0
2004,99,9.066932,7.779048,3.871201,0.0625,8.139732,0.0,0,0,0
2005,99,9.026778,8.34284,3.713572,0.0625,8.460835,0.0,0,0,0
2006,99,8.818778,8.389359,3.713572,0.0625,8.287025,0.0,0,0,0
2004,100,8.634976,5.921578,3.663562,0.1025641,8.065266,0.0,0,0,0
2005,100,8.72372,5.755742,3.912023,0.1025641,8.330864,0.0,0,0,0
2006,100,9.142383,5.932245,3.332205,0.1025641,8.846929,0.0,0,0,0
2004,101,9.160204,5.31812,2.70805,0.2,9.002209,0.0,0,0,0
2005,101,9.230339,5.347107,2.772589,0.2,9.083416,0.0,0,0,0
2006,101,9.334062,6.575076,2.944439,0.2,9.209641,0.0,0,0,0
2004,102,8.831274,7.825645,3.688879,0.25,8.849227,0.0,0,0,0
2005,102,9.913834,7.938446,3.496508,0.25,10.17968,0.0,0,0,0
2006,102,10.1399,7.966587,3.912023,0.25,10.13816,0.0,0,0,0
2004,103,9.050406,7.330405,3.295837,0.1111111,8.559103,0.0,0,1,0
2005,103,9.289244,7.332369,3.258096,0.1111111,8.868132,0.0,0,0,0
2006,103,9.368028,7.355002,3.332205,0.1111111,9.053803,0.0,0,0,0
2004,104,9.470626,9.126415,3.951244,0.1923077,8.7093,0.0,0,1,0
2005,104,9.526755,8.875147,3.988984,0.1923077,9.143024,0.0,0,1,0
2006,104,9.565424,8.424419,4.060443,0.1923077,9.179056,0.0,0,1,0
2004,105,9.510741,7.413367,2.833213,0.2941177,9.217515,0.0,0,0,0
2005,105,9.74367,8.394347,2.639057,0.2941177,9.376194,0.0,0,0,0
2006,105,9.756958,7.669028,2.70805,0.2941177,9.450302,0.0,0,0,0
2004,106,9.142061,6.487684,3.7612,0.0,8.935904,0.0,0,0,0
2005,106,9.389323,7.408531,3.7612,0.0,9.162515,0.0,0,0,0
2006,106,9.106091,5.877736,3.7612,0.0,8.949235,0.0,0,0,0
2004,107,9.416216,6.977282,2.639057,0.0,9.384042,0.0,0,0,0
2005,107,9.140669,5.308268,2.564949,0.0,9.09549,0.0,0,0,0
2006,107,9.442801,5.02388,2.70805,0.0,9.411974,0.0,0,0,0
2004,108,11.59641,8.946896,4.219508,0.0735294,11.31184,0.0,0,0,0
2005,108,9.825526,8.867004,4.219508,0.0735294,9.791438,0.0,0,0,0
2006,108,9.641149,8.98932,4.304065,0.0735294,9.733588,0.0,0,0,0
2004,109,9.080118,7.901007,3.401197,0.0,8.797398,0.0,0,0,0
2005,109,8.847216,7.901007,3.401197,0.0,8.463581,0.0,0,0,0
2006,109,8.761706,7.901007,3.091043,0.0,8.615589,0.0,0,0,0
2004,110,8.546947,5.010635,3.610918,0.0,7.649693,0.0,0,0,0
2005,110,9.059518,5.501258,3.610918,0.0,8.663888,0.0,0,0,0
2006,110,9.085684,6.437752,3.988984,0.0,8.868554,0.0,0,0,0
2004,111,9.407551,6.851185,4.70953,0.0990991,8.628198,0.0,0,0,0
2005,111,9.754523,7.046647,4.795791,0.0990991,8.883779,0.0,0,0,0
2006,111,10.21665,7.081708,4.976734,0.0990991,9.160625,0.0,0,0,0
2004,112,7.252762,6.678342,5.192957,0.0333333,6.331502,0.0,0,0,1
2005,112,6.794587,5.480639,4.510859,0.0333333,6.327937,0.0,0,0,1
2006,112,6.440947,5.480639,3.367296,0.0333333,5.883322,0.0,0,0,1
2004,113,11.11452,9.936922,4.795791,0.5041322,10.83687,0.0,1,1,0
2005,113,11.20755,10.05186,5.02388,0.5041322,10.76515,0.0,0,1,0
2006,113,11.57218,10.13939,5.164786,0.5041322,11.2421,0.0,1,1,0
2004,114,12.24301,9.137124,4.70953,0.1351351,12.1618,0.0,0,0,0
2005,114,12.39856,9.458294,4.718499,0.1351351,12.23984,0.0,0,0,0
2006,114,12.78602,9.466222,4.718499,0.1351351,12.60919,0.0,0,0,0
2004,115,10.55711,9.646788,5.141664,0.1578947,10.2259,0.0,0,0,0
